
organism_name
Ephydatia muelleri
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila subobscura
Drosophila subobscura
Drosophila subobscura
Drosophila subobscura
Drosophila subobscura
Drosophila teissieri
Drosophila teissieri
Drosophila teissieri
Drosophila virilis
Drosophila virilis
Drosophila virilis
Drosophila virilis
Drosophila virilis
Drosophila virilis
Drosophila yakuba
Drosophila yakuba
Drosophila yakuba
Drosophila yakuba
Drosophila athabasca
Drosophila athabasca
Drosophila athabasca
Drosophila azteca
Drosophila immigrans
Drosophila immigrans
Drosophila immigrans
Drosophila lowei
Drosophila melanica
Drosophila melanica
Drosophila robusta
Drosophila robusta
Drosophila willistoni
Drosophila willistoni
Drosophila willistoni
Drosophila willistoni
Drosophila arizonae
Drosophila guanche
Drosophila saltans
Drosophila serrata
Drosophila serrata
Drosophila serrata
Drosophila obscura
Drosophila obscura
Drosophila tristis
Drosophila sproati
Drosophila albomicans
Drosophila albomicans
Drosophila albomicans
Drosophila albomicans
Drosophila albomicans
Scaptomyza pallida
Haematobia irritans
Musca domestica
Musca domestica
Musca domestica
Calliphora vicina
Lucilia cuprina
Lucilia cuprina
Lucilia cuprina
Phormia regina
Phormia regina
Sarcophaga bullata
Sarcophaga bullata
Sarcophaga peregrina
Glossina morsitans
Glossina austeni
Glossina fuscipes
Glossina pallidipes
Campoletis sonorensis
Diadromus collaris
Nasonia vitripennis
Nasonia vitripennis
Nasonia giraulti
Nasonia giraulti
Nasonia longicornis
Vespa crabro
Vespa crabro
Vespa mandarinia
Vespa mandarinia
Vespula vulgaris
Vespula vulgaris
Vespula vulgaris
Apis mellifera
Apis mellifera
Apis cerana
Apis cerana
Apis cerana
Apis dorsata
Apis dorsata
Apis florea
Apis mellifera ligustica
Trichogramma pretiosum
Ctenocephalides felis
Oncopeltus fasciatus
Leptinotarsa decemlineata
Lingula anatina
Asterias rubens
Asterias rubens
Marthasterias glacialis
Marthasterias glacialis
Pisaster ochraceus
Eucidaris tribuloides
Hemicentrotus pulcherrimus
Lytechinus pictus
Lytechinus variegatus
Lytechinus variegatus
Lytechinus variegatus
Strongylocentrotus purpuratus
Ciona intestinalis
Ciona intestinalis
Ciona intestinalis
Ciona intestinalis
Ciona intestinalis
Styela clava
Halocynthia roretzi
Branchiostoma floridae
Branchiostoma lanceolatum
Branchiostoma lanceolatum
Branchiostoma belcheri
Branchiostoma belcheri
Branchiostoma belcheri
Brachionus plicatilis
Brachionus plicatilis
Brachionus plicatilis
Beroe ovata
Bugula neritina
Saccoglossus kowalevskii
Trichoplax adhaerens
Atta cephalotes
Cassiopea xamachana
Danaus plexippus
Lymantria dispar
Myzus persicae
Phlebotomus perniciosus
Pseudococcus longispinus
Rhodnius prolixus
Schizaphis graminum
Schizaphis graminum
Schizaphis graminum
Armadillidium vulgare
Armadillidium vulgare
Jalmenus evagoras
Lucilia sericata
Lucilia sericata
Romanomermis culicivorax
Solenopsis invicta
Solenopsis invicta
Solenopsis invicta
Solenopsis invicta
Solenopsis invicta
Solenopsis invicta
Solenopsis invicta
Daphnia galeata
Penaeus japonicus
Penaeus japonicus
Cherax quadricarinatus
Bactrocera dorsalis
Bactrocera dorsalis
Nippostrongylus brasiliensis
Nippostrongylus brasiliensis
Fasciolopsis buski
Echinostoma caproni
Mnemiopsis leidyi
Drosophila suzukii
Drosophila suzukii
Drosophila suzukii
Drosophila suzukii
Zeugodacus cucurbitae
Rhagoletis pomonella
Rhagoletis zephyria
Cepaea nemoralis
Moniezia expansa
Drosophila eugracilis
Drosophila eugracilis
Drosophila takahashii
Drosophila takahashii
Drosophila takahashii
Phlebotomus papatasi
Copidosoma floridanum
Ostrinia nubilalis
Helicoverpa armigera
Helicoverpa armigera
Mytilus galloprovincialis
Mytilus galloprovincialis
Mytilus galloprovincialis
Crassostrea gigas
Crassostrea gigas
Crassostrea gigas
Crassostrea gigas
Ancylostoma caninum
Dictyocaulus viviparus
Penaeus indicus
Drosophila arawakana
Drosophila bakoue
Drosophila busckii
Drosophila busckii
Drosophila busckii
Drosophila elegans
Drosophila elegans
Drosophila elegans
Drosophila ficusphila
Drosophila ficusphila
Drosophila kikkawai
Drosophila kikkawai
Drosophila kikkawai
Drosophila malagassya
Drosophila neocordata
Drosophila prosaltans
Drosophila repleta
Drosophila rubida
Drosophila sturtevanti
Drosophila varians
Zaprionus capensis
Zaprionus inermis
Zaprionus taronus
Delia radicum
Anopheles koliensis
Anopheles merus
Anopheles merus
Anopheles punctulatus
Anopheles stephensi
Anopheles stephensi
Anopheles stephensi
Anopheles stephensi
Anopheles stephensi
Anopheles stephensi
Anopheles stephensi
Triatoma infestans
Hormaphis cornu
Bombus hypnorum
Bombus terrestris
Bombus terrestris
Bombus terrestris
Bombus sylvestris
Polistes fuscatus
Vespula germanica
Vespula germanica
Vespula germanica
Vespula pensylvanica
Botryllus schlosseri
Holothuria glaberrima
Caenorhabditis remanei
Caenorhabditis remanei
Caenorhabditis remanei
Caenorhabditis remanei
Caenorhabditis remanei
Dirofilaria repens
Globodera rostochiensis
Globodera rostochiensis
Globodera rostochiensis
Schistosoma mattheei
Venturia canescens
Tetranychus urticae
Pteromalus puparum
Cotesia glomerata
Zerene cesonia
Heliconius ethilla
Heliconius ethilla
Heliconius ethilla
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius numata
Heliconius besckei
Heliconius congener
Heliconius heurippa
Heliconius heurippa
Heliconius hecale
Heliconius hecale
Heliconius hecale
Heliconius hecale
Heliconius hewitsoni
Heliconius ismenius
Heliconius pachinus
Heliconius pachinus
Heliconius wallacei
Heliconius atthis
Heliconius eleuchia
Heliconius sapho
Heliconius charithonia
Heliconius ricini
Heliconius burneyi
Heliconius xanthocles
Heliconius pardalinus
Heliconius himera
Heliconius himera
Heliconius himera
Heliconius himera
Heliconius sara
Heliconius sara
Heliconius elevatus
Heliconius elevatus
Heliconius elevatus
Heliconius elevatus
Heliconius elevatus
Heliconius elevatus
Heliconius clysonymus
Eueides isabella
Eueides isabella
Laparus doris
Heliconius aoede
Heliconius aoede
Pleurobrachia bachei
Paragonimus westermani
Paragonimus westermani
Strongyloides ratti
Steinernema carpocapsae
Nautilus pompilius
Ornithodoros porcinus
Ornithodoros porcinus
Ornithodoros porcinus
Rhipicephalus annulatus
Ixodes ricinus
Ixodes persulcatus
Rhipicephalus sanguineus
Galendromus occidentalis
Dermanyssus gallinae
Mesobuthus martensii
Drosophila tsacasi
Drosophila tsacasi
Drosophila tsacasi
Syritta pipiens
Syritta pipiens
Anopheles melas
Anopheles quadriannulatus
Trachymyrmex septentrionalis
Polistes dorsalis
Antheraea mylitta
Oikopleura dioica
Oikopleura dioica
Daphnia pulicaria
Daphnia pulicaria
Daphnia pulicaria
Daphnia magna
Daphnia magna
Daphnia magna
Daphnia magna
Daphnia magna
Daphnia obtusa
Stomoxys calcitrans
Trichuris trichiura
Globodera pallida
Globodera pallida
Haliotis laevigata
Haliotis rubra
Megaselia scalaris
Philaenus spumarius
Philaenus spumarius
Coptotermes formosanus
Glossina brevipalpis
Athalia rosae
Athalia rosae
Athalia rosae
Glossina morsitans morsitans
Priapulus caudatus
Aphidius ervi
Aphidius ervi
Gyrodactylus salaris
Octopus bimaculoides
Heterorhabditis bacteriophora
Steinernema glaseri
Schlechtendalia chinensis
Pachypsylla venusta
Pachypsylla venusta
Ophraella communa
Heteractis magnifica
Bradysia coprophila
Allacma fusca
Hyphantria cunea
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Junonia coenia
Mayetiola destructor
Mayetiola destructor
Ichthyophonus hoferi
Phoebis sennae
Ephestia kuehniella
Ephestia kuehniella
Ephestia kuehniella
Ephestia kuehniella
Ephestia kuehniella
Ephestia kuehniella
Ephestia kuehniella
Diatraea saccharalis
Strongylus vulgaris
Drosophila americana
Drosophila americana
Drosophila americana
Drosophila americana
Drosophila americana
Drosophila montana
Drosophila americana texana
Blomia tropicalis
Rhopalosiphum padi
Rhopalosiphum padi
Rhagonycha fulva
Rhagonycha fulva
Oryzaephilus surinamensis
Pollicipes pollicipes
Coccinella septempunctata
Coccinella septempunctata
Coccinella septempunctata
Chionoecetes opilio
Anopheles atroparvus
Anopheles atroparvus
Anopheles atroparvus
Tribolium madens
Drosophila bipectinata
Drosophila bipectinata
Drosophila bipectinata
Drosophila bipectinata
Drosophila nasuta
Drosophila nasuta
Drosophila nasuta
Drosophila nasuta
Drosophila nasuta
Drosophila nasuta
Drosophila nasuta
Drosophila nasuta
Drosophila ercepeae
Brugia timori
Litomosoides sigmodontis
Litomosoides sigmodontis
Onchocerca ochengi
Onchocerca ochengi
Onchocerca ochengi
Mytilus coruscus
Mytilus coruscus
Apodemia mormo
Vanessa atalanta
Vanessa atalanta
Culex pipiens pallens
Anopheles aquasalis
Daphnia dubia
Anopheles bwambae
Anopheles christyi
Rhopalosiphum maidis
Anopheles darlingi
Haemaphysalis longicornis
Haemaphysalis longicornis
Apis mellifera mellifera
Macrosiphum rosae
Sitobion avenae
Sitobion miscanthi
Metopolophium dirhodum
Magicicada septendecim
Magicicada septendecula
Acropora millepora
Acropora millepora
Nematostella vectensis
Chrysomya rufifacies
Chrysomya rufifacies
Chrysomya rufifacies
Teladorsagia circumcincta
Papilio glaucus
Trichinella britovi
Corbicula fluminea
Dreissena polymorpha
Dreissena polymorpha
Radopholus similis
Radopholus similis
Radopholus similis
Drosophila pseudoobscura pseudoobscura
Drosophila pseudoobscura pseudoobscura
Drosophila pseudoobscura pseudoobscura
Patiria miniata
Patiria miniata
Patiriella regularis
Acropora cytherea
Montipora capitata
Pocillopora damicornis
Drosophila equinoxialis
Drosophila sucinea
Drosophila insularis
Drosophila paulistorum
Drosophila paulistorum
Drosophila tropicalis
Drosophila birchii
Drosophila birchii
Fasciola gigantica
Fasciola gigantica
Fasciola gigantica
Drosophila novamexicana
Drosophila novamexicana
Drosophila novamexicana
Drosophila auraria
Drosophila auraria
Drosophila auraria
Drosophila auraria
Drosophila auraria
Drosophila littoralis
Schistosoma margrebowiei
Drosophila murphyi
Orbicella faveolata
Orbicella faveolata
Orchesella cincta
Setaria digitata
Setaria digitata
Euperipatoides rowelli
Pissodes strobi
Panonychus citri
Diabrotica virgifera virgifera
Stylophora pistillata
Priacma serrata
Ancylostoma duodenale
Enterobius vermicularis
Heterodera glycines
Heterodera glycines
Heterodera glycines
Necator americanus
Porites australiensis
Ciona savignyi
Cotesia congregata
Heterorhabditis indica
Sacculina carcini
Sacculina carcini
Plutella xylostella
Plutella xylostella
Plutella xylostella
Plutella xylostella
Plutella xylostella
Plutella xylostella
Plutella xylostella
Anemonia viridis
Cordylochernes scorpioides
Muscidifurax raptorellus
Steganacarus magnus
Steinernema feltiae
Steinernema feltiae
Sarcoptes scabiei
Sarcoptes scabiei
Sarcoptes scabiei
Megalonaias nervosa
Calopteryx splendens
Bolitophila cinerea
Radix auricularia
Ancylostoma ceylanicum
Ancylostoma ceylanicum
Mesocestoides corti
Pristionchus pacificus
Pristionchus pacificus
Pristionchus pacificus
Pristionchus pacificus
Pristionchus pacificus
Pristionchus pacificus
Pristionchus pacificus
Pristionchus pacificus
Mamestra brassicae
Mamestra brassicae
Panagrolaimus sp. PS1159
Bulinus truncatus
Acropora hyacinthus
Acropora hyacinthus
Ips typographus
Gerris buenoi
Agrotis ipsilon
Pseudomyrmex pallidus
Hypothenemus hampei
Hypothenemus hampei
Dicrocoelium dendriticum
Plodia interpunctella
Plodia interpunctella
Anopheles farauti No. 4
Cactoblastis cactorum
Phallusia mammillata
Paragonimus skrjabini miyazakii
Meloidogyne chitwoodi
Meloidogyne chitwoodi
Meloidogyne chitwoodi
Myxobolus squamalis
Tyrophagus putrescentiae
Tyrophagus putrescentiae
Bactrocera tryoni
Bactrocera tryoni
Dibothriocephalus latus
Taenia asiatica
Taenia asiatica
Reticulitermes speratus
Reticulitermes speratus
Drosophila punjabiensis
Oesophagostomum dentatum
Acanthopleura granulata
Drosophila diplacantha
Timema bartmani
Timema californicum
Timema cristinae
Timema cristinae
Timema cristinae
Timema cristinae
Timema douglasi
Timema podura
Timema tahoe
Hapalochlaena maculosa
Anopheles funestus
Anopheles funestus
Anopheles vaneedeni
Varroa jacobsoni
Anisolabis maritima
Ptychodera flava
Leptopilina boulardi
Leptopilina boulardi
Leptopilina boulardi
Leptopilina boulardi
Leptopilina clavipes
Leptopilina heterotoma
Leptopilina heterotoma
Leptopilina heterotoma
Leptopilina heterotoma
Leptopilina heterotoma
Gonioctena quinquepunctata
Actias luna
Samia ricini
Callosobruchus maculatus
Pieris rapae
Pieris rapae
Pieris rapae
Sparganum proliferum
Trachymyrmex zeteki
Wasmannia auropunctata
Fopius arisanus
Nicrophorus orbicollis
Bombus pascuorum
Bombus pascuorum
Drosophila fuyamai
Drosophila pseudoananassae
Drosophila pseudoananassae pseudoananassae
Papilio xuthus
Papilio xuthus
Archegozetes longisetosus
Hypochthonius rufulus
Pinctada imbricata
Dipylidium caninum
Drosophila lacteicornis
Drosophila rufa
Drosophila rufa
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Drosophila triauraria
Lasius niger
Glossina palpalis gambiensis
Cristatella mucedo
Trichuris suis
Trichuris suis
Trichuris suis
Anopheles farauti
Anopheles farauti
Microplitis demolitor
Darwinula stevensoni
Henneguya salminicola
Spodoptera litura
Aphelenchus avenae
Anopheles rivulorum
Trichuris muris
Schistocephalus solidus
Schistocephalus solidus
Acropora nasuta
Acropora digitifera
Acropora digitifera
Acropora gemmifera
Acropora florida
Acropora tenuis
Cylicostephanus goldi
Sphaeroforma arctica
Lepeophtheirus salmonis
Lepeophtheirus salmonis
Lepeophtheirus salmonis
Lepeophtheirus salmonis
Lepeophtheirus salmonis
Colias croceus
Colias croceus
Colias croceus
Trichogramma evanescens
Scirpophaga incertulas
Oryctes rhinoceros
Oryctes rhinoceros
Formica exsecta
Cataglyphis niger
Perna viridis
Drosophila nikananu
Calpodes ethlius
Drosophila seguyi
Drosophila bocqueti
Drosophila bocqueti
Drosophila lini
Anopheles maculatus
Anopheles maculatus
Anopheles sinensis
Anopheles sinensis
Marisa cornuarietis
Andricus curvator
Andricus inflator
Andricus grossulariae
Andricus grossulariae
Strongyloides venezuelensis
Lysiphlebus fabarum
Papilio machaon
Papilio machaon
Papilio machaon
Papilio polytes
Papilio protenor
Papilio memnon
Papilio memnon
Papilio bianor
Papilio bianor
Graphium sarpedon
Graphium doson
Graphium doson
Luehdorfia japonica
Zaprionus indianus
Zaprionus indianus
Zaprionus indianus
Zaprionus indianus
Zaprionus indianus
Chymomyza costata
Ancistrocerus nigricornis
Ancistrocerus nigricornis
Dendroctonus ponderosae
Dendroctonus ponderosae
Dendroctonus ponderosae
Dendroctonus ponderosae
Papilio zelicaon
Lepidurus arcticus
Ceratina australensis
Exoneurella tridentata
Pieris napi
Pieris napi
Pieris napi
Pieris napi
Pieris napi
Lymantria monacha
Lymantria monacha
Schmidtea mediterranea
Schmidtea mediterranea
Schmidtea mediterranea
Schmidtea mediterranea
Cimex lectularius
Cimex lectularius
Clonorchis sinensis
Clonorchis sinensis
Aphis gossypii
Aphis gossypii
Aphis gossypii
Luehdorfia chinensis
Biston betularia
Biston betularia
Cydia pomonella
Gyrodactylus bullatarudis
Orius laevigatus
Linepithema humile
Papilio dardanus tibullus
Orius insidiosus
Psoroptes ovis
Clogmia albipunctata
Atrophaneura alcinous
Hymenolepis microstoma
Dolichovespula saxonica
Dolichovespula sylvestris
Dolichovespula sylvestris
Adoxophyes honmai
Bombus balteatus
Bombus hortorum
Bombus hortorum
Trichogramma brassicae
Patella pellucida
Patella pellucida
Eurytemora affinis
Apis mellifera carnica
Lasioglossum albipes
Lasioglossum morio
Lasioglossum morio
Lasioglossum lativentre
Lasioglossum lativentre
Trialeurodes vaporariorum
Trialeurodes vaporariorum
Megaselia abdita
Drosophila kohkoa
Drosophila sulfurigaster
Lineus longissimus
Lineus longissimus
Conus betulinus
Cotesia chilonis
Steinernema monticolum
Steinernema scapterisci
Metapolybia cingulata
Polistes canadensis
Polistes metricus
Polybia occidentalis
Aricia agestis
Aricia agestis
Trichinella sp. T6
Trichinella sp. T8
Lordiphosa clarofinis
Lordiphosa collinella
Lordiphosa stackelbergi
Ostrinia furnacalis
Parnassius smintheus
Argiope bruennichi
Taenia multiceps
Drosophila watanabei
Drosophila trapezifrons
Apis cerana cerana
Apis cerana cerana
Crassostrea ariakensis
Crassostrea ariakensis
Semibalanus balanoides
Semibalanus balanoides
Membranipora membranacea
Membranipora membranacea
Streblospio benedicti
Euryades corethrus
Cressida cressida
Pharmacophagus antenor
Ornithoptera priamus
Ornithoptera priamus
Eriocheir sinensis
Eriocheir sinensis
Armadillidium nasatum
Brachionus rotundiformis
Brachionus rotundiformis
Heterodera schachtii
Heterodera schachtii
Sinonovacula constricta
Sinonovacula constricta
Corallochytrium limacisporum
Spirometra erinaceieuropaei
Spirometra erinaceieuropaei
Paragonimus heterotremus
Paragonimus kellicotti
Candidula unifasciata
Conus consors
Conus tribblei
Heliconius timareta
Heliconius timareta
Heliconius timareta
Heliconius timareta
Heliconius timareta
Heliconius timareta
Heliconius timareta
Astreopora myriophthalma
Platygyra sinensis
Rodentolepis nana
Acromyrmex echinatior
Drosophila bocki
Drosophila bocki
Drosophila gunungcola
Thelazia callipaeda
Drosophila nannoptera
Drosophila pachea
Bombus bifarius
Camponotus floridanus
Camponotus floridanus
Idaea aversata
Idaea aversata
Operophtera brumata
Hydriomena furcata
Hydriomena furcata
Erannis defoliaria
Erannis defoliaria
Agriopis aurantiaria
Agriopis aurantiaria
Bactrocera oleae
Bactrocera oleae
Bactrocera minax
Bactrocera minax
Bactrocera minax
Brachionus calyciflorus
Brachionus calyciflorus
Adineta vaga
Adineta vaga
Adineta vaga
Adineta vaga
Adineta vaga
Adineta vaga
Montipora efflorescens
Cryptotermes secundus
Scaptomyza graminum
Bilobella aurantiaca
Neanura muscorum
Oikopleura longicauda
Nilaparvata lugens
Nilaparvata lugens
Nilaparvata lugens
Pleistodontes nigriventris
Laupala kohalensis
Drosophila leontia
Varroa destructor
Varroa destructor
Physella acuta
Nicrophorus vespilloides
Bicyclus anynana
Iphiclides podalirius
Papilio clytia
Parnassius apollo
Parnassius apollo
Pinna nobilis
Drosophila jambulina
Drosophila jambulina
Drosophila jambulina
Nymphalis urticae
