prot1,prot2,BLASTidentity,S,N,dNdS,dN,dS
NC_036881.1_cds_XP_016805163.1_10850,NC_048241.1_cds_XP_003828312.1_9907,99.787,447.7,1898.3,0.0010,0.0000,0.0120
NC_036881.1_cds_XP_024210553.1_10897,NC_048241.1_cds_XP_008951852.1_9872,99.861,744.3,2228.7,0.4108,0.0179,0.0435
NC_036881.1_cds_XP_001146318.3_11718,NC_048241.1_cds_XP_003824314.2_10337,100.000,300.7,1040.3,0.4879,0.0000,0.0000
NC_036881.1_cds_XP_515965.2_12012,NC_048241.1_cds_XP_003823567.1_10534,100.000,187.1,1090.9,0.0010,0.0000,0.0000
NC_036881.1_cds_XP_016805661.1_12050,NC_048241.1_cds_XP_003825315.2_10584,99.896,519.8,1409.2,0.3799,0.0007,0.0019
NC_036881.1_cds_XP_016805747.2_12186,NC_048241.1_cds_XP_003825348.2_10698,99.750,750.2,1805.8,0.0799,0.0006,0.0069
NC_036881.1_cds_XP_024210773.1_12210,NC_048241.1_cds_XP_003825352.1_10713,99.949,857.3,3054.7,0.0010,0.0000,0.0025
NC_036881.1_cds_XP_016804988.1_12326,NC_048241.1_cds_XP_034810678.1_10804,99.903,263.3,984.7,0.3426,0.0041,0.0119
NC_036881.1_cds_NP_001233493.1_12845,NC_048241.1_cds_XP_003818653.1_11301,100.000,289.3,1012.7,0.3608,0.0000,0.0000
NC_036882.1_cds_XP_024211097.1_14107,NC_048242.1_cds_XP_003826312.1_12320,99.858,596.0,1513.0,0.1914,0.0007,0.0035
NC_036882.1_cds_XP_001157526.1_14212,NC_048242.1_cds_XP_003826280.1_12421,100.000,77.7,228.3,0.4505,0.0000,0.0000
NC_036882.1_cds_XP_024210967.1_14743,NC_048242.1_cds_XP_003826131.1_12879,100.000,375.0,1656.0,99.0000,0.0006,0.0000
NC_036882.1_cds_XP_517018.2_15357,NC_048242.1_cds_XP_003818906.1_13442,99.917,271.1,937.9,99.0000,0.0011,0.0000
NC_036882.1_cds_XP_516524.3_15733,NC_048242.1_cds_XP_003818790.2_13787,99.877,578.8,1044.2,0.6217,0.0010,0.0017
NC_036882.1_cds_XP_520898.3_16068,NC_048242.1_cds_XP_003811648.1_14050,100.000,292.7,874.3,0.3538,0.0000,0.0000
NC_036882.1_cds_XP_001155234.1_16632,NC_048242.1_cds_XP_003825142.1_14545,99.788,319.6,622.4,0.0010,0.0000,0.0064
NC_036882.1_cds_XP_516736.3_17126,NC_048242.1_cds_XP_008953017.1_14961,100.000,150.3,704.7,15.6318,0.0000,0.0000
NC_036882.1_cds_XP_016797394.1_17210,NC_048242.1_cds_XP_034813255.1_15040,99.949,890.1,3051.9,0.3618,0.0045,0.0124
NC_036882.1_cds_XP_001143578.1_17689,NC_048242.1_cds_XP_003826517.2_15428,100.000,382.4,1372.6,0.4166,0.0000,0.0000
NC_036882.1_cds_XP_024211545.1_17799,NC_048242.1_cds_XP_003806138.1_15517,99.712,541.6,1537.4,0.3413,0.0020,0.0057
NC_036882.1_cds_XP_009445050.2_17900,NC_048242.1_cds_XP_008954302.1_15594,99.934,482.2,1026.8,99.0000,0.0010,0.0000
NC_036882.1_cds_XP_001139517.1_18232,NC_048242.1_cds_XP_003806637.1_15862,99.861,505.0,1658.0,0.5775,0.0012,0.0021
NC_036882.1_cds_XP_016797891.2_18246,NC_048242.1_cds_XP_003806640.1_15879,99.924,337.0,977.0,99.0000,0.0011,0.0000
NC_036882.1_cds_XP_001153126.1_18365,NC_048242.1_cds_XP_008953947.2_15981,99.907,388.8,685.2,0.0010,0.0000,0.0025
NC_036882.1_cds_XP_024211022.1_18605,NC_048242.1_cds_XP_003806473.2_16187,100.000,112.0,356.0,0.4620,0.0000,0.0000
NC_036883.1_cds_XP_024211718.1_18850,NC_048243.1_cds_XP_034814054.1_16392,99.664,208.3,979.7,0.0010,0.0000,0.0192
NC_036883.1_cds_NP_001267352.1_19195,NC_048243.1_cds_XP_034815427.1_16561,99.762,349.8,1345.2,0.2841,0.0055,0.0194
NC_036883.1_cds_XP_001152561.1_19855,NC_048243.1_cds_XP_003832350.1_17107,99.855,447.5,1613.5,0.0010,0.0000,0.0071
NC_036883.1_cds_XP_517393.3_20729,NC_048243.1_cds_XP_008953636.1_17888,99.239,205.9,445.1,99.0000,0.0047,0.0000
NC_036883.1_cds_XP_003310508.1_20906,NC_048243.1_cds_XP_003816473.1_18081,100.000,156.3,458.7,0.4555,0.0000,0.0000
NC_036883.1_cds_XP_016807639.1_20926,NC_048243.1_cds_XP_034814994.1_18116,99.835,303.4,902.6,99.0000,0.0022,0.0000
NC_036883.1_cds_XP_024212096.1_21289,NC_048243.1_cds_XP_003815936.1_18446,99.881,419.3,1251.7,0.3306,0.0008,0.0024
NC_036884.1_cds_NP_001233567.1_22408,NC_048244.1_cds_XP_003810521.1_19431,100.000,158.6,621.4,0.5035,0.0000,0.0000
NC_036884.1_cds_XP_001151559.1_22425,NC_048244.1_cds_XP_003810524.2_19442,99.807,366.4,1187.6,0.1505,0.0008,0.0056
NC_036884.1_cds_XP_016808934.1_22756,NC_048244.1_cds_XP_034816080.1_19911,99.931,509.1,942.9,0.0010,0.0000,0.0019
NC_036884.1_cds_NP_001267135.1_22760,NC_048244.1_cds_XP_008954408.1_19915,99.529,223.0,623.0,0.1150,0.0016,0.0141
NC_036884.1_cds_XP_009447673.2_22907,NC_048244.1_cds_XP_003817976.1_20039,99.638,459.3,1196.7,0.7476,0.0034,0.0045
NC_036884.1_cds_XP_517870.2_23021,NC_048244.1_cds_XP_003826799.2_20122,99.860,695.9,2154.1,0.3000,0.0005,0.0015
NC_036884.1_cds_NP_001229349.1_23071,NC_048244.1_cds_XP_008950325.1_20166,100.000,99.1,332.9,0.3923,0.0000,0.0000
NC_036884.1_cds_NP_001238927.1_23119,NC_048244.1_cds_XP_034816260.1_20212,100.000,114.6,305.4,0.4159,0.0000,0.0000
NC_036884.1_cds_XP_001163412.1_23361,NC_048244.1_cds_XP_003829350.1_20412,99.975,1363.4,2572.6,0.0010,0.0000,0.0007
NC_036884.1_cds_XP_517953.2_23592,NC_048244.1_cds_XP_003829279.1_20581,99.833,643.3,1147.7,0.0010,0.0000,0.0046
NC_036884.1_cds_XP_009448094.1_23727,NC_048244.1_cds_XP_008952791.2_20697,99.653,291.1,857.9,0.3226,0.0023,0.0072
NC_036884.1_cds_XP_001140609.1_23738,NC_048244.1_cds_XP_003829223.1_20704,100.000,78.8,518.2,0.0010,0.0000,0.0000
NC_036884.1_cds_XP_001157149.1_24454,NC_048244.1_cds_XP_003814071.1_21411,99.905,321.6,731.4,0.0010,0.0000,0.0031
NC_036884.1_cds_XP_009448553.3_24652,NC_048244.1_cds_XP_008968766.1_21591,99.784,78.4,380.6,0.0010,0.0000,0.0130
NW_019932884.1_cds_XP_001158128.1_24925,NC_048244.1_cds_XP_003806828.1_19500,100.000,209.8,975.2,0.0010,0.0000,0.0000
NW_019932884.1_cds_XP_003950587.1_24945,NC_048244.1_cds_XP_034815887.1_19515,99.950,359.5,1650.5,99.0000,0.0006,0.0000
NW_019932884.1_cds_XP_517726.2_24948,NC_048244.1_cds_XP_003806833.1_19517,99.422,175.3,340.7,0.0010,0.0000,0.0171
NC_036885.1_cds_XP_009448698.1_25270,NC_048245.1_cds_XP_003806767.1_21902,99.779,456.1,896.9,1.0403,0.0023,0.0022
NC_036885.1_cds_XP_016810965.1_26750,NC_048245.1_cds_XP_003833350.1_23207,99.924,401.8,909.2,0.0010,0.0000,0.0025
NC_036885.1_cds_XP_016811116.1_27013,NC_048245.1_cds_XP_034818090.1_23427,99.958,796.9,1609.1,0.0010,0.0000,0.0012
NC_036885.1_cds_NP_001266726.1_27552,NC_048245.1_cds_XP_003816425.1_23891,99.816,353.6,1272.4,0.5184,0.0016,0.0030
NC_036885.1_cds_XP_009450039.1_27855,NC_048245.1_cds_XP_003824389.1_24168,100.000,135.6,689.4,0.0010,0.0000,0.0000
NC_036885.1_cds_XP_001156493.1_28025,NC_048245.1_cds_XP_003822251.1_24291,100.000,150.6,767.4,0.0010,0.0000,0.0000
NC_036885.1_cds_XP_518709.2_28101,NC_048245.1_cds_XP_003827621.1_24360,100.000,115.8,613.2,0.1487,0.0000,0.0000
NC_036885.1_cds_XP_009450224.1_28247,NC_048245.1_cds_XP_003827664.1_24496,99.928,438.0,951.0,99.0000,0.0011,0.0000
NC_036885.1_cds_XP_518771.1_28548,NC_048245.1_cds_XP_003827760.1_24768,99.892,296.9,624.1,0.0010,0.0000,0.0034
NC_036886.1_cds_XP_518924.3_29172,NC_048246.1_cds_XP_034819366.1_25319,99.695,176.8,804.2,0.1052,0.0012,0.0118
NC_036886.1_cds_XP_016812499.1_29251,NC_048246.1_cds_XP_034819415.1_25398,99.906,713.7,1611.3,0.0010,0.0000,0.0028
NC_036886.1_cds_XP_016812731.1_29942,NC_048246.1_cds_XP_003833447.1_26004,100.000,65.9,207.1,0.3835,0.0000,0.0000
NC_036886.1_cds_XP_519057.3_30074,NC_048246.1_cds_XP_003812272.2_26110,99.844,483.5,2078.5,0.0010,0.0000,0.0091
NC_036886.1_cds_XP_009451223.1_30182,NC_048246.1_cds_XP_034819909.1_26209,99.645,387.3,1019.7,0.0974,0.0010,0.0104
NC_036886.1_cds_XP_016801187.1_30293,NC_048246.1_cds_XP_003805878.1_26283,99.763,178.5,661.5,0.0010,0.0000,0.0123
NC_036886.1_cds_XP_519568.2_30544,NC_048246.1_cds_XP_003814572.2_26446,99.734,267.2,482.8,0.0010,0.0000,0.0072
NC_036886.1_cds_XP_016800756.1_30713,NW_023259841.1_cds_XP_003815616.1_69571,99.764,262.5,580.5,0.4600,0.0017,0.0038
NC_036886.1_cds_XP_001138290.1_31205,NC_048246.1_cds_XP_003815780.1_26986,100.000,83.7,348.3,0.2294,0.0000,0.0000
NC_036886.1_cds_XP_001141412.2_31917,NC_048246.1_cds_XP_003808693.1_27610,100.000,74.4,213.6,0.4744,0.0000,0.0000
NC_036887.1_cds_XP_519679.3_33565,NC_048247.1_cds_XP_003830840.1_29073,100.000,145.7,478.3,0.5238,0.0000,0.0000
NC_036887.1_cds_XP_001165532.1_33577,NC_048247.1_cds_XP_003830837.1_29081,99.818,448.6,1192.4,0.1840,0.0008,0.0046
NC_036887.1_cds_XP_009453519.1_33873,NC_048247.1_cds_XP_008975185.1_29319,99.554,242.5,426.5,0.0010,0.0000,0.0122
NC_036887.1_cds_XP_016814968.1_34064,NC_048247.1_cds_XP_003823297.1_29484,99.928,499.0,896.0,0.0010,0.0000,0.0020
NC_036887.1_cds_XP_016815757.1_34827,NC_048247.1_cds_XP_003821780.2_30165,99.777,573.7,1217.3,1.4032,0.0025,0.0018
NC_036887.1_cds_XP_001135909.1_34910,NC_048247.1_cds_XP_034822376.1_30234,100.000,189.8,701.2,0.5270,0.0000,0.0000
NC_036887.1_cds_XP_519914.2_34954,NC_048247.1_cds_XP_003823383.1_30276,100.000,192.5,863.5,0.0010,0.0000,0.0000
NC_036887.1_cds_XP_519915.3_34957,NC_048247.1_cds_XP_003823384.1_30280,99.600,267.7,479.3,99.0000,0.0064,0.0001
NC_036887.1_cds_XP_009454111.1_34994,NC_048247.1_cds_XP_008974422.1_30317,99.867,1206.2,2546.8,0.1182,0.0004,0.0034
NC_036887.1_cds_XP_001155989.2_35581,NC_048247.1_cds_XP_003819480.1_30826,99.870,174.2,593.8,0.0010,0.0000,0.0056
NC_036887.1_cds_XP_016815596.1_35614,NC_048247.1_cds_XP_034822794.1_30843,99.822,439.8,1798.2,0.2478,0.0011,0.0046
NC_036888.1_cds_XP_520471.4_35807,NC_048248.1_cds_XP_003823414.1_31009,99.733,390.5,728.5,0.0010,0.0000,0.0077
NC_036888.1_cds_XP_016816059.1_35852,NC_048248.1_cds_XP_034822991.1_31047,99.854,907.7,2542.3,0.6513,0.0047,0.0072
NC_036888.1_cds_XP_001143144.1_35869,NC_048248.1_cds_XP_003846146.2_31067,99.902,835.9,2224.1,0.1839,0.0005,0.0025
NC_036888.1_cds_XP_009454730.1_36255,NC_048248.1_cds_XP_008953745.1_31473,99.734,1028.7,2352.3,0.3565,0.0017,0.0049
NC_036888.1_cds_XP_016816329.1_36449,NC_048248.1_cds_XP_034823296.1_31645,100.000,270.7,752.3,99.0000,0.0013,0.0000
NC_036888.1_cds_NP_001267366.1_36561,NC_048248.1_cds_XP_003805164.1_31751,99.758,294.3,530.7,0.0010,0.0000,0.0069
NC_036888.1_cds_XP_009455093.1_36622,NC_048248.1_cds_XP_008959601.1_31788,100.000,397.8,1777.2,0.0010,0.0000,0.0000
NC_036888.1_cds_NP_001065268.1_37821,NC_048248.1_cds_XP_003833164.1_32845,100.000,95.4,420.6,0.3676,0.0000,0.0000
NC_036888.1_cds_XP_520291.2_38159,NC_048248.1_cds_XP_003822370.1_33150,99.875,174.1,620.9,99.0000,0.0016,0.0000
NC_036888.1_cds_XP_016815838.1_38504,NC_048248.1_cds_XP_003822464.1_33463,99.747,278.2,1299.8,0.0010,0.0000,0.0150
NC_036888.1_cds_XP_009455909.2_38573,NC_048248.1_cds_XP_034785308.1_33511,99.779,239.7,660.3,99.0000,0.0031,0.0000
NC_036888.1_cds_XP_016817712.1_38867,NC_048248.1_cds_XP_008968358.1_33809,99.878,498.1,1967.9,0.1295,0.0005,0.0040
NC_036889.1_cds_XP_016774377.1_41360,NC_048249.1_cds_XP_003825427.1_36036,99.946,755.6,1587.4,99.0000,0.0006,0.0000
NC_036889.1_cds_XP_009457324.3_41544,NC_048249.1_cds_XP_034787133.1_36171,100.000,162.0,471.0,0.4741,0.0000,0.0000
NC_036889.1_cds_XP_024202481.1_42622,NW_023259842.1_cds_XP_034807375.1_69692,99.895,385.4,1810.6,0.0010,0.0000,0.0132
NC_036890.1_cds_NP_001267121.1_42693,NC_048250.1_cds_XP_003806068.1_37045,99.735,398.9,729.1,0.0010,0.0000,0.0075
NC_036890.1_cds_NP_001104282.1_43388,NC_048250.1_cds_XP_034787970.1_37618,99.816,328.0,755.0,0.0010,0.0000,0.0063
NC_036890.1_cds_XP_016775861.1_43508,NC_048250.1_cds_XP_003818208.1_37743,99.943,1256.7,2262.3,0.0010,0.0000,0.0016
NC_036890.1_cds_XP_016776029.1_43767,NC_048250.1_cds_XP_014202201.1_37960,99.941,564.8,1133.2,99.0000,0.0009,0.0000
NC_036890.1_cds_XP_009458459.1_43939,NC_048250.1_cds_XP_034788250.1_38121,99.651,291.6,953.4,0.8209,0.0574,0.0700
NC_036890.1_cds_XP_001143337.1_43964,NC_048250.1_cds_XP_003830451.1_38157,99.911,374.5,747.5,0.0010,0.0000,0.0026
NC_036890.1_cds_XP_508355.2_43977,NC_048250.1_cds_XP_003830444.1_38173,99.954,685.7,1465.3,0.0010,0.0000,0.0015
NC_036890.1_cds_XP_016776148.1_44007,NC_048250.1_cds_XP_003830432.1_38196,99.838,769.3,2305.7,0.0833,0.0004,0.0053
NC_036890.1_cds_NP_001315211.1_44616,NC_048250.1_cds_XP_003826469.1_38719,100.000,281.8,993.2,0.0010,0.0000,0.0000
NC_036890.1_cds_XP_001142421.1_44812,NC_048250.1_cds_XP_003826373.1_38888,99.736,391.4,1120.6,0.0010,0.0000,0.0104
NC_036890.1_cds_XP_016776722.2_45348,NC_048250.1_cds_XP_003828668.2_39363,99.940,573.7,1100.3,0.0010,0.0000,0.0017
NC_036890.1_cds_XP_001174909.1_45987,NC_048250.1_cds_XP_003814726.1_39993,99.828,302.9,855.1,0.0010,0.0000,0.0072
NC_036890.1_cds_XP_001174940.1_46023,NC_048250.1_cds_XP_003814741.1_40037,99.853,217.7,460.3,99.0000,0.0022,0.0000
NC_036890.1_cds_NP_001229498.1_46334,NC_048250.1_cds_XP_003833026.1_40306,100.000,153.2,437.8,0.4641,0.0000,0.0000
NC_036890.1_cds_XP_016777320.1_46482,NC_048250.1_cds_XP_008964661.1_40412,99.832,600.6,1439.4,0.2142,0.0007,0.0033
NC_036890.1_cds_XP_009422292.1_46496,NC_048250.1_cds_XP_008952058.1_40425,99.855,226.3,460.7,0.0010,0.0000,0.0043
NC_036890.1_cds_NP_001267222.1_46944,NC_048250.1_cds_XP_003820137.2_40803,99.783,385.3,991.7,0.7676,0.0020,0.0026
NC_036890.1_cds_XP_508802.3_47127,NC_048250.1_cds_XP_003820075.1_40969,100.000,142.9,514.1,0.4316,0.0000,0.0000
NC_036890.1_cds_XP_001165129.1_47163,NC_048250.1_cds_XP_034789756.1_41008,100.000,324.4,689.6,0.9610,0.0030,0.0031
NC_036891.1_cds_NP_001073383.1_47931,NC_048251.1_cds_XP_008972004.1_41669,100.000,305.8,825.2,0.4794,0.0000,0.0000
NC_036891.1_cds_XP_001161664.1_47966,NC_048251.1_cds_XP_003820351.2_41702,99.810,1491.4,2711.6,0.9512,0.0019,0.0020
NC_036891.1_cds_XP_003313518.1_48078,NC_048251.1_cds_XP_003820315.1_41814,99.864,248.8,483.2,0.0010,0.0000,0.0040
NC_036891.1_cds_XP_001168535.1_48804,NC_048251.1_cds_XP_003824952.1_42442,99.921,445.9,814.1,0.0010,0.0000,0.0023
NC_036891.1_cds_XP_024203707.1_50180,NC_048251.1_cds_XP_003808759.1_43651,99.856,860.7,1914.3,0.1536,0.0005,0.0035
NC_036891.1_cds_XP_003952293.2_50317,NC_048251.1_cds_XP_003832938.2_43753,100.000,185.4,957.6,0.0010,0.0000,0.0000
NC_036891.1_cds_XP_003313988.1_51053,NC_048251.1_cds_XP_003832534.1_44375,100.000,132.5,413.5,0.3733,0.0000,0.0000
NC_036891.1_cds_XP_009424597.1_51262,NC_048251.1_cds_XP_008956072.1_44554,99.757,767.9,2115.1,0.1515,0.0010,0.0063
NC_036891.1_cds_XP_001159608.2_51357,NC_048251.1_cds_XP_034790522.1_44628,99.863,2288.8,5724.2,0.0977,0.0004,0.0038
NC_036891.1_cds_NP_001233329.1_51494,NC_048251.1_cds_XP_003832401.1_44738,99.702,176.1,492.9,0.3597,0.0021,0.0058
NC_036891.1_cds_XP_003314042.1_51572,NC_048251.1_cds_XP_034790614.1_44789,99.832,169.1,424.9,0.0010,0.0000,0.0057
NC_036891.1_cds_XP_009424816.1_51698,NC_048251.1_cds_XP_008962732.1_44869,100.000,207.6,707.4,0.0010,0.0000,0.0000
NC_036891.1_cds_XP_001170519.1_51699,NC_048251.1_cds_XP_008962733.1_44870,100.000,182.8,741.2,0.0010,0.0000,0.0000
NC_036891.1_cds_XP_016780161.2_51876,NC_048251.1_cds_XP_008965603.2_45025,99.742,291.4,1256.6,0.2378,0.0016,0.0069
NC_036891.1_cds_XP_016780169.2_51909,NC_048251.1_cds_XP_003814638.2_45062,99.811,1792.5,5065.5,0.1583,0.0008,0.0051
NC_036892.1_cds_XP_016780686.1_52457,NC_048252.1_cds_XP_008950504.1_45535,99.886,274.9,598.1,0.0010,0.0000,0.0038
NC_036892.1_cds_XP_509639.3_52525,NC_048252.1_cds_XP_003806955.1_45582,99.904,670.3,1399.7,0.0010,0.0000,0.0030
NC_036892.1_cds_XP_016781165.1_52674,NC_048252.1_cds_XP_003804256.2_45707,99.919,670.8,1801.2,0.3669,0.0036,0.0099
NC_036892.1_cds_XP_003314203.1_52827,NC_048252.1_cds_XP_008960328.1_45823,99.797,467.7,1008.3,0.9797,0.0021,0.0021
NC_036892.1_cds_XP_509796.2_52859,NC_048252.1_cds_XP_034792651.1_45839,99.914,403.6,754.4,99.0000,0.0013,0.0000
NC_036892.1_cds_XP_009439460.1_53472,NC_048252.1_cds_XP_008955775.1_46381,99.946,646.4,1210.6,0.0010,0.0000,0.0015
NC_036893.1_cds_XP_003952508.2_53982,NC_048253.1_cds_XP_003821263.1_46834,100.000,361.0,1565.0,0.2838,0.0000,0.0000
NC_036893.1_cds_XP_509931.2_54216,NC_048253.1_cds_XP_003831792.1_47051,99.811,406.1,1174.9,0.6590,0.0017,0.0026
NC_036893.1_cds_XP_001164011.1_54430,NC_048253.1_cds_XP_003831716.4_47235,99.908,344.2,741.8,0.0010,0.0000,0.0029
NC_036893.1_cds_XP_016781668.1_54548,NC_048253.1_cds_XP_003831682.1_47309,99.755,200.3,633.7,1.3164,0.0220,0.0167
NC_036893.1_cds_XP_510038.2_54817,NC_048253.1_cds_XP_014203125.1_47555,99.865,250.4,487.6,0.0010,0.0000,0.0039
NC_036893.1_cds_XP_016781882.1_54973,NC_048253.1_cds_XP_034793690.1_47677,99.905,295.2,868.8,0.6177,0.0594,0.0961
NC_036893.1_cds_XP_003314465.1_55046,NC_048253.1_cds_XP_008976157.1_47731,100.000,137.5,456.5,0.3874,0.0000,0.0000
NC_036893.1_cds_NP_001267367.1_55227,NC_048253.1_cds_XP_003808930.1_47893,99.938,545.5,1062.5,0.0010,0.0000,0.0018
NC_036893.1_cds_XP_001147277.1_55482,NC_048253.1_cds_XP_014203176.1_48104,99.957,746.8,1599.2,0.0010,0.0000,0.0013
NC_036893.1_cds_XP_009426663.1_55721,NC_048253.1_cds_XP_003832905.1_48308,99.929,445.5,967.5,0.0010,0.0000,0.0023
NC_036893.1_cds_XP_016782266.1_55882,NC_048253.1_cds_XP_003807066.1_48455,100.000,162.0,705.0,0.4389,0.0000,0.0000
NC_036894.1_cds_XP_009427010.2_56344,NC_048254.1_cds_XP_003804997.1_48818,99.819,171.5,377.5,0.0010,0.0000,0.0059
NC_036894.1_cds_XP_523187.2_56517,NC_048254.1_cds_XP_003826650.1_48970,99.863,720.9,2198.1,0.1082,0.0005,0.0043
NC_036894.1_cds_XP_009427025.1_56555,NC_048254.1_cds_XP_008950242.1_48990,99.898,305.9,675.1,0.0010,0.0000,0.0033
NC_036894.1_cds_XP_510388.2_56894,NC_048254.1_cds_XP_003831540.1_49294,99.925,454.7,874.3,0.0010,0.0000,0.0021
NC_036894.1_cds_XP_009427444.2_57072,NC_048254.1_cds_XP_008951436.1_49425,99.820,483.3,1178.7,0.8069,0.0017,0.0021
NC_036894.1_cds_XP_510690.2_57922,NC_048254.1_cds_XP_008970641.1_50150,99.800,306.9,692.1,0.0010,0.0000,0.0065
NC_036895.1_cds_XP_024205399.1_58663,NW_023259843.1_cds_XP_008959155.1_69890,99.885,312.7,1430.3,0.2159,0.0007,0.0033
NC_036895.1_cds_XP_016784631.1_58837,NW_023259843.1_cds_XP_034807465.1_69738,99.787,193.9,742.1,0.0010,0.0000,0.0100
NC_036895.1_cds_XP_016784139.2_58938,NC_048255.1_cds_XP_003807747.1_50800,99.894,208.3,727.7,0.0010,0.0000,0.0047
NC_036895.1_cds_XP_009428356.3_58963,NC_048255.1_cds_XP_003807729.1_50822,99.588,513.7,1910.3,0.1165,0.0016,0.0138
NC_036895.1_cds_XP_016784136.1_58998,NC_048255.1_cds_XP_008949578.1_50855,100.000,136.9,841.1,0.4928,0.0000,0.0000
NC_036895.1_cds_XP_510831.2_59478,NC_048255.1_cds_XP_003832737.2_51265,99.855,653.4,2094.6,0.0989,0.0005,0.0048
NC_036895.1_cds_XP_001143837.3_59501,NC_048255.1_cds_XP_034795730.1_51297,100.000,335.0,1321.0,0.3550,0.0000,0.0000
NC_036895.1_cds_NP_001233553.1_60319,NC_048255.1_cds_XP_003823791.2_51969,99.681,284.2,651.8,99.0000,0.0047,0.0000
NC_036895.1_cds_XP_511004.1_60427,NC_048255.1_cds_XP_034796219.1_52056,100.000,148.7,499.3,0.4838,0.0000,0.0000
NC_036895.1_cds_XP_001162940.1_60578,NC_048255.1_cds_XP_003812251.1_52224,100.000,119.5,399.5,0.4801,0.0000,0.0000
NC_036895.1_cds_XP_009429256.1_60706,NC_048255.1_cds_XP_003814618.1_52354,99.933,492.3,986.7,0.0010,0.0000,0.0020
NC_036895.1_cds_NP_001233354.1_60803,NC_048255.1_cds_XP_003814602.1_52441,100.000,116.6,423.4,0.4010,0.0000,0.0000
