user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_000624175.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.84	0.96	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.84	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.06, 0.83; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.85, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.26, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.21, 0.83	96.8	11	N/A	N/A
GCA_000625855.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.83	0.96	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.83	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.05, 0.83; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.85, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.25, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.2, 0.84	96.8	11	N/A	N/A
GCA_000715155.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	99.94	0.98	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	99.94	0.98	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.05, 0.78; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.86, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.22, 0.82; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.11, 0.83	96.8	11	N/A	N/A
GCA_001104885.3_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.18	0.92	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.18	0.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 94.96, 0.81; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.75, 0.83; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.12, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.03, 0.84	98.47	11	N/A	N/A
GCA_002208965.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	99.89	0.95	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	99.89	0.95	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.13, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.81, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.25, 0.85; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.1, 0.83	98.47	11	N/A	N/A
GCA_002209225.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	99.95	0.98	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	99.95	0.98	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.04, 0.79; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.84, 0.85; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.21, 0.85; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.11, 0.85	97.64	11	N/A	N/A
GCA_003902395.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.94	0.97	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.94	0.97	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.13, 0.83; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.78, 0.86; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.27, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.11, 0.85	96.8	11	N/A	N/A
GCA_004194635.5_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.6	0.93	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.6	0.93	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.1, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.85, 0.83; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.32, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.26, 0.85	98.47	11	N/A	N/A
GCA_004224885.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.89	0.92	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.89	0.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.08, 0.79; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.83, 0.86; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.24, 0.85; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.15, 0.84	97.64	11	N/A	N/A
GCA_005414475.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.76	0.9	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.76	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.09, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.78, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.25, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.24, 0.83	97.64	11	N/A	N/A
GCA_005415515.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.74	0.9	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.74	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.08, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.79, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.22, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.25, 0.84	96.47	11	N/A	N/A
GCA_005447485.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.74	0.9	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.74	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.08, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.79, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.24, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.25, 0.84	96.8	11	N/A	N/A
GCA_005447645.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.75	0.9	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.75	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.1, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.81, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.22, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.25, 0.84	96.8	11	N/A	N/A
GCA_005457265.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.5	0.93	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.5	0.93	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 94.98, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.72, 0.87; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.29, 0.86; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.15, 0.86	98.47	11	N/A	N/A
GCA_005545055.2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.73	0.9	GCF_000006945.2	95.0604	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.73	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_008692785.1, s__Salmonella diarizonae, 95.0604, 95.06, 0.8; GCF_900478215.1, s__Salmonella houtenae, 95.0, 94.79, 0.84; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.26, 0.84; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.18, 0.84	97.64	11	N/A	N/A
