prot1,prot2,BLASTidentity,S,N,dNdS,dN,dS
NC_045949.1_prot_XP_002038868.1_3227,NC_052520.2_prot_XP_002079684.1_3517,99.692,805.8,2119.2,0.0405,0.0014,0.0353
NC_045949.1_prot_XP_002039065.1_3534,NC_052520.2_prot_XP_002079876.1_3841,99.798,340.6,1141.4,0.0193,0.0009,0.0458
NC_045949.1_prot_XP_002039080.1_3558,NC_052520.2_prot_XP_002079893.1_3866,99.583,256.4,1183.6,0.0178,0.0017,0.0951
NC_045949.1_prot_XP_002039129.1_3635,NC_052520.2_prot_XP_002079944.1_3950,100.000,170.7,552.3,0.0010,0.0001,0.0799
NC_045949.1_prot_XP_002042434.1_3764,NC_052520.2_prot_XP_002080032.1_4099,99.705,304.2,1729.8,0.0260,0.0012,0.0449
NC_045949.1_prot_XP_002042498.1_3852,NC_052520.2_prot_XP_002080101.1_4194,98.936,293.0,841.0,0.1661,0.0048,0.0287
NC_045949.1_prot_XP_032571720.1_3918,NC_052520.2_prot_XP_016025737.2_4270,99.707,529.6,1519.4,0.0769,0.0013,0.0173
NC_045949.1_prot_XP_002042540.1_3935,NC_052520.2_prot_XP_002080141.1_4290,98.566,243.4,593.6,0.2339,0.0070,0.0298
NC_045949.1_prot_XP_002044628.1_4072,NC_052520.2_prot_XP_016025845.1_4489,99.675,452.0,1393.0,0.0553,0.0014,0.0258
NC_045949.1_prot_XP_032570380.1_4097,NC_052520.2_prot_XP_016025890.1_4513,96.908,655.2,1801.8,0.3536,0.0022,0.0063
NC_045950.1_prot_XP_002044730.1_4156,NC_052521.2_prot_XP_016033115.1_4637,100.000,139.1,538.9,0.0010,0.0000,0.0160
NC_045950.1_prot_XP_032571253.1_4159,NC_052521.2_prot_XP_016025964.1_4634,98.404,395.2,1296.8,0.3716,0.0069,0.0187
NC_045950.1_prot_XP_002032951.2_4861,NC_052521.2_prot_XP_002080625.1_5483,99.425,83.8,438.2,0.0297,0.0023,0.0776
NC_045950.1_prot_XP_002032955.1_4864,NC_052521.2_prot_XP_002080627.2_5487,99.752,236.0,976.0,0.0314,0.0010,0.0332
NC_045950.1_prot_XP_002033036.1_4995,NC_052521.2_prot_XP_002080710.1_5638,99.579,377.6,1752.4,0.0100,0.0006,0.0568
NC_045950.1_prot_XP_002033070.1_5072,NC_052521.2_prot_XP_016026667.2_5707,99.365,409.4,1480.6,0.0451,0.0027,0.0601
NC_045950.1_prot_XP_002045331.1_5206,NC_052521.2_prot_XP_002080821.1_5843,99.492,426.1,1934.9,0.0411,0.0021,0.0508
NC_045950.1_prot_XP_002033185.1_5277,NC_052521.2_prot_XP_016026786.1_5925,98.322,757.4,1924.6,0.1490,0.0080,0.0536
NC_045950.1_prot_XP_032570919.1_5479,NC_052521.2_prot_XP_016026943.1_6147,100.000,209.2,750.8,0.0010,0.0001,0.0505
NC_045950.1_prot_XP_002033301.1_5495,NC_052521.2_prot_XP_016026954.1_6165,99.684,793.3,2053.7,0.0424,0.0015,0.0351
NC_045950.1_prot_XP_002033362.1_5575,NC_052521.2_prot_XP_016027006.1_6262,100.000,484.7,1555.3,0.0010,0.0001,0.0509
NC_045950.1_prot_XP_002033366.1_5580,NC_052521.2_prot_XP_016027009.1_6268,98.069,357.4,1040.6,0.1360,0.0088,0.0647
NC_045950.1_prot_XP_032572429.1_5664,NC_052521.2_prot_XP_016027050.1_6347,99.091,261.8,728.2,0.0704,0.0042,0.0600
NC_045950.1_prot_XP_002033487.1_5743,NC_052521.2_prot_XP_016027097.1_6424,99.958,1649.4,5538.6,0.0037,0.0002,0.0490
NC_045950.1_prot_XP_002033581.1_5880,NC_052521.2_prot_XP_002081214.1_6569,98.857,106.5,418.5,0.1197,0.0048,0.0400
NC_045950.1_prot_XP_002033591.1_5911,NC_052521.2_prot_XP_002081224.1_6604,100.000,62.0,286.0,0.0010,0.0001,0.0517
NC_045950.1_prot_XP_002033714.1_6115,NC_052521.2_prot_XP_002081348.1_6848,99.527,289.1,979.9,0.0352,0.0021,0.0586
NC_045950.1_prot_XP_002033775.2_6238,NC_052521.2_prot_XP_016027509.1_6965,99.338,316.9,1036.1,0.0375,0.0020,0.0526
NC_045950.1_prot_XP_002033798.1_6275,NC_052521.2_prot_XP_002081457.1_7009,100.000,239.2,921.8,0.0010,0.0001,0.0696
NC_045950.1_prot_XP_002033831.1_6342,NC_052521.2_prot_XP_016027591.1_7078,99.658,406.3,1345.7,0.0413,0.0015,0.0361
NC_045950.1_prot_XP_032570872.1_6507,NC_052521.2_prot_XP_016027692.1_7231,99.323,295.1,1033.9,0.0688,0.0029,0.0425
NC_045950.1_prot_XP_002034043.1_6731,NC_052521.2_prot_XP_002081693.1_7490,100.000,128.7,393.3,0.0010,0.0000,0.0399
NC_045950.1_prot_XP_002034214.1_7003,NC_052521.2_prot_XP_002081849.1_7789,99.335,296.0,1057.0,0.0468,0.0029,0.0612
NC_045950.1_prot_XP_002034228.1_7029,NC_052521.2_prot_XP_002081862.2_7817,99.770,658.1,1945.9,0.0358,0.0010,0.0288
NC_045950.1_prot_XP_002034296.1_7175,NC_052521.2_prot_XP_002081927.1_8005,99.710,409.0,1661.0,0.0219,0.0012,0.0555
NC_045950.1_prot_XP_002034337.1_7234,NC_052521.2_prot_XP_002081973.1_8073,98.956,398.7,1038.3,0.0772,0.0049,0.0635
NC_045950.1_prot_XP_002034354.1_7253,NC_052521.2_prot_XP_002081991.2_8091,99.872,562.8,1789.2,0.0131,0.0006,0.0430
NC_045950.1_prot_XP_002034394.1_7318,NC_052521.2_prot_XP_039148568.1_8184,100.000,465.1,1436.9,0.0010,0.0000,0.0346
NC_045950.1_prot_XP_002034453.1_7401,NC_052521.2_prot_XP_016028395.1_8276,99.802,357.8,1157.2,0.0195,0.0009,0.0455
NC_045950.1_prot_XP_002034476.2_7425,NC_052521.2_prot_XP_002082120.2_8311,98.253,527.8,1533.2,0.1438,0.0079,0.0549
NC_045950.1_prot_XP_002034719.1_7838,NC_052521.2_prot_XP_002082363.1_8765,99.769,268.3,1030.7,0.0102,0.0010,0.0954
NC_045950.1_prot_XP_002039705.1_7959,NC_052521.2_prot_XP_002082426.1_8882,96.266,259.0,437.0,0.0010,0.0001,0.0785
NC_045950.1_prot_XP_002039797.1_8098,NC_052521.2_prot_XP_039148270.1_9044,99.142,438.0,960.0,0.2196,0.0044,0.0200
NC_045950.1_prot_XP_032571446.1_8247,NC_052521.2_prot_XP_016029075.1_9219,98.862,852.1,3101.9,0.0696,0.0049,0.0703
NC_045950.1_prot_XP_002039924.1_8272,NC_052521.2_prot_XP_002082635.2_9244,99.537,97.0,551.0,0.0363,0.0018,0.0507
NC_045950.1_prot_XP_002040128.1_8548,NC_052521.2_prot_XP_002082828.1_9539,99.479,121.2,454.8,0.0206,0.0023,0.1097
NC_045950.1_prot_XP_002040131.2_8552,NC_052521.2_prot_XP_002082831.1_9543,98.819,347.4,1176.6,0.1312,0.0053,0.0402
NC_045950.1_prot_XP_032570292.1_8590,NC_052521.2_prot_XP_016029300.1_9578,100.000,113.0,622.0,0.0010,0.0001,0.0539
NC_045950.1_prot_XP_002040178.1_8634,NC_052521.2_prot_XP_002082880.1_9625,97.857,416.3,1683.7,0.1598,0.0090,0.0562
NC_045950.1_prot_XP_002040193.1_8656,NC_052521.2_prot_XP_002082892.1_9646,99.127,498.8,1907.2,0.0545,0.0037,0.0671
NC_045950.1_prot_XP_032572043.1_8731,NC_052521.2_prot_XP_002082926.1_9725,99.235,476.5,1872.5,0.0362,0.0027,0.0738
NC_045950.1_prot_XP_002043047.1_8775,NC_052521.2_prot_XP_002082951.1_9777,100.000,189.3,824.7,0.0010,0.0000,0.0444
NC_045950.1_prot_XP_002043109.1_8851,NC_052521.2_prot_XP_016029499.1_9860,100.000,95.2,429.8,0.0010,0.0001,0.0785
NC_045950.1_prot_XP_002043159.1_8930,NC_052521.2_prot_XP_016029566.1_9954,98.148,403.2,1216.8,0.2328,0.0083,0.0356
NC_045951.1_prot_XP_002034788.1_9098,NC_052522.2_prot_XP_002081441.2_10122,99.509,516.7,1925.3,0.0402,0.0021,0.0523
NC_045951.1_prot_XP_032573502.1_9129,NC_052522.2_prot_XP_016029738.1_10158,97.906,633.1,2372.9,0.2386,0.0108,0.0451
NC_045951.1_prot_XP_002034829.1_9148,NC_052522.2_prot_XP_044778932.1_10179,99.919,881.2,2799.8,0.0053,0.0004,0.0683
NC_045951.1_prot_XP_002034881.2_9210,NC_052522.2_prot_XP_002083186.2_10244,99.505,105.9,500.1,0.0285,0.0020,0.0708
NC_045951.1_prot_XP_002034893.1_9226,NC_052522.2_prot_XP_016029790.1_10259,99.566,820.1,2629.9,0.0364,0.0012,0.0316
NC_045951.1_prot_XP_002034953.2_9323,NC_052522.2_prot_XP_016029879.1_10362,99.684,232.7,715.3,0.0401,0.0014,0.0355
NC_045951.1_prot_XP_032576043.1_9361,NC_052522.2_prot_XP_002083277.1_10403,99.536,333.0,960.0,0.0517,0.0021,0.0410
NC_045951.1_prot_XP_002034980.1_9362,NC_052522.2_prot_XP_002083278.1_10404,100.000,57.9,227.1,0.0010,0.0000,0.0346
NC_045951.1_prot_XP_002035230.1_9790,NC_052522.2_prot_XP_016030288.1_10871,98.870,400.3,1192.7,0.0892,0.0052,0.0584
NC_045951.1_prot_XP_002035319.1_9930,NC_052522.2_prot_XP_002083611.1_11017,99.485,63.8,518.2,0.0307,0.0020,0.0637
NC_045951.1_prot_XP_002035437.1_10102,NC_052522.2_prot_XP_016030519.1_11206,100.000,58.1,355.9,0.0010,0.0001,0.0543
NC_045951.1_prot_XP_002035481.1_10177,NC_052522.2_prot_XP_016030577.1_11295,99.517,92.1,528.9,0.0416,0.0019,0.0459
NC_045951.1_prot_XP_002035489.1_10187,NC_052522.2_prot_XP_016030582.1_11305,99.048,433.4,1141.6,0.1170,0.0045,0.0382
NC_045951.1_prot_XP_002035522.1_10224,NC_052522.2_prot_XP_002083812.1_11353,100.000,51.4,221.6,0.0010,0.0001,0.1189
NC_045951.1_prot_XP_002035612.2_10326,NC_052522.2_prot_XP_016030672.1_11470,100.000,164.1,591.9,0.0010,0.0001,0.0614
NC_045951.1_prot_XP_002035632.1_10342,NC_052522.2_prot_XP_016030684.1_11493,98.000,233.5,666.5,0.1068,0.0091,0.0852
NC_045951.1_prot_XP_002035686.1_10435,NC_052522.2_prot_XP_002083967.1_11594,98.125,78.2,401.8,0.1353,0.0075,0.0557
NC_045951.1_prot_XP_002029709.2_10683,NC_052522.2_prot_XP_016030971.1_11860,99.087,291.3,1022.7,0.0949,0.0039,0.0411
NC_045951.1_prot_XP_002029808.1_10841,NC_052522.2_prot_XP_002084204.2_12045,99.503,366.4,1445.6,0.0389,0.0021,0.0542
NC_045951.1_prot_XP_002029812.1_10846,NC_052522.2_prot_XP_002084208.2_12052,100.000,327.6,899.4,0.0010,0.0001,0.0515
NC_045951.1_prot_XP_002029912.1_11007,NC_052522.2_prot_XP_016031227.1_12233,99.237,668.1,2082.9,0.0310,0.0029,0.0935
NC_045951.1_prot_XP_032575211.1_11105,NC_052522.2_prot_XP_016031299.1_12353,99.672,812.8,2844.2,0.0182,0.0014,0.0776
NC_045951.1_prot_XP_002030004.1_11189,NC_052522.2_prot_XP_002084391.2_12459,99.501,569.2,1836.8,0.0284,0.0022,0.0775
NC_045951.1_prot_XP_002030058.1_11248,NC_052522.2_prot_XP_044778929.1_12523,97.783,811.4,2704.6,0.1183,0.0099,0.0836
NC_045951.1_prot_XP_002030149.1_11367,NC_052522.2_prot_XP_002084524.1_12661,100.000,160.8,559.2,0.0010,0.0000,0.0407
NC_045951.1_prot_XP_002030235.1_11486,NC_052522.2_prot_XP_002084605.1_12794,99.099,80.6,252.4,0.1627,0.0041,0.0251
NC_045951.1_prot_XP_002030293.2_11574,NC_052522.2_prot_XP_002084669.1_12892,99.454,294.8,1352.2,0.0365,0.0023,0.0620
NC_045951.1_prot_XP_002030396.1_11694,NC_052522.2_prot_XP_002084768.1_13017,100.000,408.0,1416.0,0.0010,0.0001,0.0685
NC_045951.1_prot_XP_002030415.1_11726,NC_052522.2_prot_XP_016031725.1_13050,99.248,333.5,863.5,0.0799,0.0035,0.0440
NC_045951.1_prot_XP_002030517.1_11916,NC_052522.2_prot_XP_016031900.1_13234,100.000,104.9,375.1,0.0010,0.0001,0.0687
NC_045951.1_prot_XP_002030533.1_11929,NC_052522.2_prot_XP_002084904.1_13247,99.059,270.5,1004.5,0.0518,0.0040,0.0770
NC_045951.1_prot_XP_002030589.1_12006,NC_052522.2_prot_XP_016031977.1_13348,99.776,292.7,1045.3,0.0254,0.0010,0.0384
NC_045951.1_prot_XP_002030693.1_12204,NC_052522.2_prot_XP_002085060.1_13571,99.281,62.7,354.3,0.0290,0.0028,0.0962
NC_045951.1_prot_XP_002030705.1_12220,NC_052522.2_prot_XP_002085073.1_13588,99.248,88.1,310.9,0.0321,0.0033,0.1011
NC_045951.1_prot_XP_002030707.2_12222,NC_052522.2_prot_XP_002085075.2_13590,97.917,185.8,534.2,0.1482,0.0095,0.0638
NC_045951.1_prot_XP_032574187.1_12489,NC_052522.2_prot_XP_016032290.1_13873,99.254,208.1,595.9,0.1843,0.0034,0.0187
NC_045951.1_prot_XP_002042615.1_12679,NC_052522.2_prot_XP_002085403.1_14089,99.091,228.4,761.6,0.0593,0.0040,0.0667
NC_045951.1_prot_XP_002043595.1_12817,NC_052522.2_prot_XP_002085515.1_14237,99.318,1070.6,2886.4,0.0581,0.0032,0.0543
NC_045951.1_prot_XP_002043632.2_12877,NC_052522.2_prot_XP_016032570.1_14304,99.621,341.3,1242.7,0.0448,0.0016,0.0364
NC_045951.1_prot_XP_032574902.1_12986,NC_052522.2_prot_XP_002085632.1_14424,100.000,395.5,1071.5,0.0010,0.0000,0.0291
NC_045951.1_prot_XP_002040681.1_13038,NC_052522.2_prot_XP_016032692.1_14486,99.760,271.0,977.0,0.0273,0.0010,0.0381
NC_045951.1_prot_XP_002040842.1_13271,NC_052522.2_prot_XP_016032872.1_14727,98.943,369.7,1049.3,0.1579,0.0049,0.0308
NC_045951.1_prot_XP_002040874.1_13311,NC_052522.2_prot_XP_016032900.1_14766,98.746,414.6,1499.4,0.2006,0.0055,0.0272
NC_045951.1_prot_XP_002040902.1_13359,NC_052522.2_prot_XP_016032942.1_14827,99.230,1204.5,3079.5,0.1267,0.0033,0.0262
NC_045951.1_prot_XP_002040962.1_13457,NC_052522.2_prot_XP_002085947.2_14932,100.000,111.6,386.4,0.0010,0.0001,0.0884
NC_045951.1_prot_XP_002040966.1_13463,NC_052522.2_prot_XP_002085951.1_14940,99.772,239.2,1074.8,0.0183,0.0009,0.0506
NC_045951.1_prot_XP_032575838.1_13576,NW_025416883.1_prot_XP_039154266.1_26155,99.202,1754.5,6138.5,0.1743,0.0036,0.0207
NC_045952.1_prot_XP_002038291.1_13799,NC_052523.2_prot_XP_002102096.1_15153,100.000,230.8,786.2,0.0010,0.0000,0.0090
NC_045952.1_prot_XP_002038300.1_13809,NC_052523.2_prot_XP_002102105.1_15163,98.770,376.4,1087.6,0.3351,0.0055,0.0165
NC_045952.1_prot_XP_002038327.1_13846,NC_052523.2_prot_XP_002102135.1_15212,100.000,162.4,677.6,0.0010,0.0000,0.0454
NC_045952.1_prot_XP_002038395.1_13966,NC_052523.2_prot_XP_002102203.1_15338,99.254,140.8,663.2,0.0597,0.0031,0.0518
NC_045952.1_prot_XP_032579332.1_13970,NC_052523.2_prot_XP_002102209.2_15343,100.000,72.1,320.9,0.0010,0.0001,0.0590
NC_045952.1_prot_XP_002038436.1_14036,NC_052523.2_prot_XP_002102241.1_15405,99.801,265.2,1243.8,0.0143,0.0008,0.0564
NC_045952.1_prot_XP_002038461.1_14068,NC_052523.2_prot_XP_016033362.1_15438,99.752,473.4,1944.6,0.0010,0.0000,0.0463
NC_045952.1_prot_XP_002038481.1_14109,NC_052523.2_prot_XP_002102284.1_15479,99.752,278.2,933.8,0.0360,0.0011,0.0301
NC_045952.1_prot_XP_002038482.1_14110,NC_052523.2_prot_XP_016033397.1_15480,100.000,293.6,1212.4,0.0010,0.0000,0.0215
NC_045952.1_prot_XP_002038668.1_14374,NC_052523.2_prot_XP_002102462.1_15774,99.271,596.8,1872.2,0.0851,0.0032,0.0380
NC_045952.1_prot_XP_002038765.1_14516,NC_052523.2_prot_XP_002102557.1_15943,100.000,197.4,630.6,0.0010,0.0001,0.0664
NC_045952.1_prot_XP_002038769.1_14521,NC_052523.2_prot_XP_016033661.1_15948,99.462,1141.5,3322.5,0.0392,0.0030,0.0777
NC_045952.1_prot_XP_032579296.1_15037,NC_052523.2_prot_XP_016034075.1_16526,94.878,250.5,1033.5,0.0352,0.0019,0.0554
NC_045952.1_prot_XP_002040997.1_15201,NC_052523.2_prot_XP_002102976.1_16687,99.688,173.3,786.7,0.0124,0.0013,0.1034
NC_045952.1_prot_XP_002041014.1_15227,NC_052523.2_prot_XP_002102997.1_16714,100.000,86.0,376.0,0.0010,0.0001,0.0988
NC_045952.1_prot_XP_032578700.1_15437,NC_052523.2_prot_XP_002103127.1_16929,98.582,191.3,654.7,0.0689,0.0065,0.0949
NC_045952.1_prot_XP_002041243.2_15585,NC_052523.2_prot_XP_002103208.2_17108,98.754,934.7,2677.3,0.2457,0.0057,0.0231
NC_045952.1_prot_XP_002031095.1_15831,NC_052523.2_prot_XP_002103347.2_17381,99.632,178.5,634.5,0.0010,0.0001,0.0599
NC_045952.1_prot_XP_002031099.1_15836,NC_052523.2_prot_XP_016034598.1_17385,100.000,124.4,502.6,0.0010,0.0000,0.0243
NC_045952.1_prot_XP_002031172.1_15939,NC_052523.2_prot_XP_039151492.1_17496,98.846,393.1,1166.9,0.1105,0.0052,0.0467
NC_045952.1_prot_XP_002031258.1_16056,NC_052523.2_prot_XP_039151467.1_17626,98.706,444.7,1409.3,0.1636,0.0057,0.0351
NC_045952.1_prot_XP_002031300.1_16115,NC_052523.2_prot_XP_002103541.1_17698,98.182,118.6,541.4,0.1242,0.0092,0.0743
NC_045952.1_prot_XP_002031336.1_16160,NC_052523.2_prot_XP_002103572.1_17755,99.241,651.9,2114.1,0.0749,0.0034,0.0448
NC_045952.1_prot_XP_002031387.2_16242,NC_052523.2_prot_XP_002103627.1_17857,99.322,191.1,693.9,0.0747,0.0029,0.0391
NC_045952.1_prot_XP_002031574.2_16517,NC_052523.2_prot_XP_002103818.1_18144,99.197,353.6,1140.4,0.1015,0.0035,0.0348
NC_045952.1_prot_XP_002031629.1_16601,NC_052523.2_prot_XP_002103872.1_18235,100.000,120.6,461.4,0.0010,0.0000,0.0417
NC_045952.1_prot_XP_002031652.1_16623,NC_052523.2_prot_XP_002103886.1_18263,99.085,348.0,963.0,1.4136,0.0042,0.0030
NC_045952.1_prot_XP_032577642.1_16796,NC_052523.2_prot_XP_016035313.1_18447,99.594,740.5,2214.5,0.0190,0.0018,0.0959
NC_045952.1_prot_XP_002031830.1_16888,NC_052523.2_prot_XP_039150608.1_18544,99.197,145.9,601.1,0.0408,0.0033,0.0819
NC_045952.1_prot_XP_002031835.1_16894,NC_052523.2_prot_XP_016035402.1_18550,98.378,481.9,1552.1,0.1324,0.0092,0.0691
NC_045952.1_prot_XP_002031838.1_16898,NC_052523.2_prot_XP_002104069.1_18553,99.808,402.7,1157.3,0.0300,0.0009,0.0289
NC_045952.1_prot_XP_002031925.1_17041,NC_052523.2_prot_XP_002104149.1_18717,98.920,609.9,1889.1,0.0706,0.0048,0.0678
NC_045952.1_prot_XP_002031926.1_17042,NC_052523.2_prot_XP_002104150.1_18718,99.302,276.3,1013.7,0.0604,0.0030,0.0495
NC_045952.1_prot_XP_002031936.1_17053,NC_052523.2_prot_XP_002104160.1_18731,99.628,1028.0,3007.0,0.0257,0.0020,0.0793
NC_045952.1_prot_XP_002031949.1_17075,NC_052523.2_prot_XP_002104176.1_18763,99.814,384.0,1230.0,0.0151,0.0008,0.0546
NC_045952.1_prot_XP_002032011.1_17168,NC_052523.2_prot_XP_016035593.1_18858,99.424,301.3,739.7,0.0888,0.0027,0.0308
NC_045952.1_prot_XP_002032064.1_17238,NC_052523.2_prot_XP_002104277.1_18919,100.000,159.8,800.2,0.0010,0.0000,0.0182
NC_045952.1_prot_XP_002032090.1_17281,NC_052523.2_prot_XP_002104308.1_18956,99.632,188.4,627.6,0.0588,0.0016,0.0274
NC_045952.1_prot_XP_002032115.1_17317,NC_052523.2_prot_XP_002104334.1_18997,98.819,157.2,604.8,0.0550,0.0050,0.0908
NC_045952.1_prot_XP_002032204.1_17427,NC_052523.2_prot_XP_002104424.1_19125,99.743,215.8,951.2,0.0097,0.0011,0.1105
NC_045952.1_prot_XP_002032225.1_17458,NC_052523.2_prot_XP_002104446.1_19158,99.644,164.0,679.0,0.0300,0.0015,0.0499
NC_045952.1_prot_XP_032577482.1_17612,NC_052523.2_prot_XP_016035870.1_19326,99.721,487.0,1667.0,0.0192,0.0012,0.0627
NC_045952.1_prot_XP_002032334.2_17620,NC_052523.2_prot_XP_016035876.1_19334,99.463,1476.9,5231.1,0.0244,0.0025,0.1026
NC_045952.1_prot_XP_002032384.1_17679,NC_052523.2_prot_XP_002104593.1_19403,100.000,254.7,891.3,0.0010,0.0001,0.0738
NC_045952.1_prot_XP_032576831.1_17747,NC_052523.2_prot_XP_002104641.2_19471,100.000,60.8,248.2,0.0010,0.0001,0.0566
NC_045952.1_prot_XP_002032436.1_17766,NC_052523.2_prot_XP_002104648.1_19498,99.289,298.3,967.7,0.0579,0.0031,0.0539
NC_045952.1_prot_XP_002032448.1_17781,NC_052523.2_prot_XP_002104661.1_19515,99.031,396.5,1151.5,0.0716,0.0045,0.0628
NC_045952.1_prot_XP_002032466.1_17805,NC_052523.2_prot_XP_039151834.1_19538,100.000,136.2,595.8,0.0010,0.0000,0.0295
NC_045952.1_prot_XP_002043836.1_17984,NC_052523.2_prot_XP_002104785.1_19732,100.000,271.9,910.1,0.0010,0.0001,0.0527
NC_045952.1_prot_XP_002032573.1_17992,NC_052523.2_prot_XP_002104790.1_19742,100.000,94.5,445.5,0.0010,0.0001,0.0845
NC_045952.1_prot_XP_002043908.1_18118,NC_052523.2_prot_XP_002104884.1_19873,99.442,404.1,1209.9,0.0673,0.0025,0.0369
