Plasmopara halstedii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_cds_from_genomic.fna.gz
Besnoitia besnoiti	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/563/875/GCF_002563875.1_Bbes1.0/GCF_002563875.1_Bbes1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/563/875/GCF_002563875.1_Bbes1.0/GCF_002563875.1_Bbes1.0_cds_from_genomic.fna.gz
Gregarina niphandrodes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/845/GCF_000223845.1_GNI3/GCF_000223845.1_GNI3_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/845/GCF_000223845.1_GNI3/GCF_000223845.1_GNI3_cds_from_genomic.fna.gz
Aphanomyces astaci	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/075/GCF_000520075.1_Apha_asta_APO3_V1/GCF_000520075.1_Apha_asta_APO3_V1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/075/GCF_000520075.1_Apha_asta_APO3_V1/GCF_000520075.1_Apha_asta_APO3_V1_cds_from_genomic.fna.gz
Aphanomyces invadans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/115/GCF_000520115.1_Apha_inva_NJM9701_V1/GCF_000520115.1_Apha_inva_NJM9701_V1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/115/GCF_000520115.1_Apha_inva_NJM9701_V1/GCF_000520115.1_Apha_inva_NJM9701_V1_cds_from_genomic.fna.gz
Leptomonas pyrrhocoris	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/395/GCF_001293395.1_ASM129339v1/GCF_001293395.1_ASM129339v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/395/GCF_001293395.1_ASM129339v1/GCF_001293395.1_ASM129339v1_cds_from_genomic.fna.gz
Trypanosoma brucei brucei TREU927	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/445/GCF_000002445.2_ASM244v1/GCF_000002445.2_ASM244v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/445/GCF_000002445.2_ASM244v1/GCF_000002445.2_ASM244v1_cds_from_genomic.fna.gz
Babesia ovata	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/897/235/GCF_002897235.1_Bovata_7.1/GCF_002897235.1_Bovata_7.1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/897/235/GCF_002897235.1_Bovata_7.1/GCF_002897235.1_Bovata_7.1_cds_from_genomic.fna.gz
Plasmodium coatneyi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/680/005/GCF_001680005.1_ASM168000v1/GCF_001680005.1_ASM168000v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/680/005/GCF_001680005.1_ASM168000v1/GCF_001680005.1_ASM168000v1_cds_from_genomic.fna.gz
Cavenderia fasciculata	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/815/GCF_000203815.1_DFas_2.0/GCF_000203815.1_DFas_2.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/815/GCF_000203815.1_DFas_2.0/GCF_000203815.1_DFas_2.0_cds_from_genomic.fna.gz
Emiliania huxleyi CCMP1516	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/725/GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0/GCF_000372725.1_Emiliana huxleyi CCMP1516 main genome assembly v1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/725/GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0/GCF_000372725.1_Emiliana huxleyi CCMP1516 main genome assembly v1.0_cds_from_genomic.fna.gz
Entamoeba histolytica HM-1:IMSS	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/925/GCF_000208925.1_JCVI_ESG2_1.0/GCF_000208925.1_JCVI-ESG2-1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/925/GCF_000208925.1_JCVI_ESG2_1.0/GCF_000208925.1_JCVI-ESG2-1.0_cds_from_genomic.fna.gz
Thalassiosira pseudonana CCMP1335	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/405/GCF_000149405.2_ASM14940v2/GCF_000149405.2_ASM14940v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/405/GCF_000149405.2_ASM14940v2/GCF_000149405.2_ASM14940v2_cds_from_genomic.fna.gz
Tetrahymena thermophila SB210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/635/GCF_000189635.1_JCVI-TTA1-2.2/GCF_000189635.1_JCVI-TTA1-2.2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/635/GCF_000189635.1_JCVI-TTA1-2.2/GCF_000189635.1_JCVI-TTA1-2.2_cds_from_genomic.fna.gz
Theileria parva strain Muguga	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/365/GCF_000165365.1_ASM16536v1/GCF_000165365.1_ASM16536v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/365/GCF_000165365.1_ASM16536v1/GCF_000165365.1_ASM16536v1_cds_from_genomic.fna.gz
Leishmania major strain Friedlin	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2/GCF_000002725.2_ASM272v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2/GCF_000002725.2_ASM272v2_cds_from_genomic.fna.gz
Dictyostelium discoideum AX4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7/GCF_000004695.1_dicty_2.7_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7/GCF_000004695.1_dicty_2.7_cds_from_genomic.fna.gz
Cryptosporidium hominis TU502	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/425/GCF_000006425.1_ASM642v1/GCF_000006425.1_ASM642v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/425/GCF_000006425.1_ASM642v1/GCF_000006425.1_ASM642v1_cds_from_genomic.fna.gz
Cryptosporidium parvum Iowa II	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/345/GCF_000165345.1_ASM16534v1/GCF_000165345.1_ASM16534v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/345/GCF_000165345.1_ASM16534v1/GCF_000165345.1_ASM16534v1_cds_from_genomic.fna.gz
Trypanosoma cruzi strain CL Brener	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1/GCF_000209065.1_ASM20906v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1/GCF_000209065.1_ASM20906v1_cds_from_genomic.fna.gz
Entamoeba dispar SAW760	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/125/GCF_000209125.1_JCVI_EDISG_1.0/GCF_000209125.1_JCVI_EDISG_1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/125/GCF_000209125.1_JCVI_EDISG_1.0/GCF_000209125.1_JCVI_EDISG_1.0_cds_from_genomic.fna.gz
Entamoeba invadens IP1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/505/GCF_000330505.1_EIA2_v2/GCF_000330505.1_EIA2 v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/505/GCF_000330505.1_EIA2_v2/GCF_000330505.1_EIA2 v2_cds_from_genomic.fna.gz
Phytophthora infestans T30-4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/945/GCF_000142945.1_ASM14294v1/GCF_000142945.1_ASM14294v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/945/GCF_000142945.1_ASM14294v1/GCF_000142945.1_ASM14294v1_cds_from_genomic.fna.gz
Paramecium tetraurelia strain d4-2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/425/GCF_000165425.1_ASM16542v1/GCF_000165425.1_ASM16542v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/425/GCF_000165425.1_ASM16542v1/GCF_000165425.1_ASM16542v1_cds_from_genomic.fna.gz
Trichomonas vaginalis G3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/825/GCF_000002825.2_ASM282v1/GCF_000002825.2_ASM282v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/825/GCF_000002825.2_ASM282v1/GCF_000002825.2_ASM282v1_cds_from_genomic.fna.gz
Leishmania braziliensis MHOM/BR/75/M2904	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/845/GCF_000002845.2_ASM284v2/GCF_000002845.2_ASM284v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/845/GCF_000002845.2_ASM284v2/GCF_000002845.2_ASM284v2_cds_from_genomic.fna.gz
Perkinsus marinus ATCC 50983	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/405/GCF_000006405.1_JCVI_PMG_1.0/GCF_000006405.1_JCVI_PMG_1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/405/GCF_000006405.1_JCVI_PMG_1.0/GCF_000006405.1_JCVI_PMG_1.0_cds_from_genomic.fna.gz
Leishmania infantum JPCM5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/875/GCF_000002875.2_ASM287v2/GCF_000002875.2_ASM287v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/875/GCF_000002875.2_ASM287v2/GCF_000002875.2_ASM287v2_cds_from_genomic.fna.gz
Cryptosporidium muris RN66	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/515/GCF_000006515.1_JCVI_cmg_v1.0/GCF_000006515.1_JCVI-cmg-v1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/515/GCF_000006515.1_JCVI_cmg_v1.0/GCF_000006515.1_JCVI-cmg-v1.0_cds_from_genomic.fna.gz
Thecamonas trahens ATCC 50062	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/905/GCF_000142905.1_TheTra_May2010/GCF_000142905.1_TheTra_May2010_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/905/GCF_000142905.1_TheTra_May2010/GCF_000142905.1_TheTra_May2010_cds_from_genomic.fna.gz
Babesia sp. Xinjiang	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/095/265/GCF_002095265.1_B_xinjiang1.0/GCF_002095265.1_B_xinjiang1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/095/265/GCF_002095265.1_B_xinjiang1.0/GCF_002095265.1_B_xinjiang1.0_cds_from_genomic.fna.gz
Babesia bovis T2Bo	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/395/GCF_000165395.1_ASM16539v1/GCF_000165395.1_ASM16539v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/395/GCF_000165395.1_ASM16539v1/GCF_000165395.1_ASM16539v1_cds_from_genomic.fna.gz
Toxoplasma gondii ME49	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4/GCF_000006565.2_TGA4_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4/GCF_000006565.2_TGA4_cds_from_genomic.fna.gz
Phaeodactylum tricornutum CCAP 1055/1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/955/GCF_000150955.2_ASM15095v2/GCF_000150955.2_ASM15095v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/955/GCF_000150955.2_ASM15095v2/GCF_000150955.2_ASM15095v2_cds_from_genomic.fna.gz
Neospora caninum Liverpool	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/865/GCF_000208865.1_ASM20886v2/GCF_000208865.1_ASM20886v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/865/GCF_000208865.1_ASM20886v2/GCF_000208865.1_ASM20886v2_cds_from_genomic.fna.gz
Plasmodium gaboni	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/602/025/GCF_001602025.1_ASM160202v1/GCF_001602025.1_ASM160202v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/602/025/GCF_001602025.1_ASM160202v1/GCF_001602025.1_ASM160202v1_cds_from_genomic.fna.gz
